method;level;f1_weighted_mean;hierarchial_f1_mean;accuracy_mean;macro_f1_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;f1_weighted_std;hierarchial_f1_std;accuracy_std;macro_f1_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;stability
leiden_res0.8;level_2;0.7984793966175645;;0.7582276229994072;0.29749500460388967;0.4613939827188105;0.4409150021291012;0.986025238182983;0.9929871310923077;0.3028555417661031;0.1899743964237433;0.22008805146527907;0.7799119485347209;2.624396454355564;0.27856966406180544;0.002053833398678407;;0.0071087913508736;0.0003872012104535404;0.01039523749702277;0.010780137466228598;0.0037635842420392536;0.0018950820832386894;0.0028310937510270546;0.0033737952490145206;0.016115379113524796;0.016115379113524796;0.5010255639086167;0.038508624755074244;0.9794616660132159
leiden_res0.8;level_3;0.5784612870481649;0.7240263923000319;0.5340752815649081;0.31999783852992814;0.4404475235951621;0.43229777955687915;0.7437429592895051;0.8623033751253627;0.26208154521286886;0.30717281931661256;0.3664571426713511;0.6335428573286489;6.683927241432551;0.13015471527012634;0.005598560140663855;0.007668816249012675;0.005578892268875523;0.024281410076510603;0.005917514706611998;0.0053259222141502005;0.03234256495981611;0.018753588292005755;0.004930371793483641;0.01151635468145673;0.0020310429912198447;0.0020310429912199232;0.10831470170966719;0.0018346958160371876;0.9440143985933614
leiden_res0_5;level_1;0.9504599854790934;;0.9057332542975697;0.23761499636977335;0.0;0.0;0.9974464207180016;0.9987222731829517;0.0;0.0;0.22020246736406368;0.7797975326359363;2.89235611105486;0.26148473171484876;0.009942173622510831;;0.018018021490346314;0.002485543405627701;0.0;0.0;0.001097975196101743;0.0005497343438640595;0.0;0.0;0.021825900474048403;0.021825900474048407;0.5809555509946929;0.0384698011246238;0.9005782637748917
leiden_res0_5;level_2;0.7911402485808534;;0.7497949021932424;0.2920718695106614;0.42806546016059377;0.41148543276124433;0.9904990394462148;0.9952346406199135;0.28542707218234126;0.1694446541241069;0.22562058226738374;0.7743794177326162;2.9018891123885595;0.26083370358826735;0.0104262962274863;;0.017037024376387194;0.004122652242588528;0.025565126346784012;0.02463912012670929;0.005903871471539907;0.0029684921185646105;0.022616301164224858;0.014404975804340305;0.02219214369284926;0.022192143692849248;0.5810756895972311;0.038353022146496406;0.895737037725137
leiden_res0_5;level_3;0.5512418810075013;0.7143991531885675;0.5141600474214582;0.3145426399620814;0.4090911707843043;0.40156937105551604;0.7454997029941338;0.8633254951843827;0.23298092982297464;0.28379161856982493;0.37087137927563896;0.629128620724361;6.384482848339134;0.13631809184011187;0.0252277519812233;0.018515251140025883;0.02622823560159033;0.016543165892723158;0.03207294482766409;0.03217079232068956;0.02526968623214188;0.014525510265316137;0.030066614848412845;0.027100971143823968;0.014193344143413614;0.014193344143413675;0.6480928002972666;0.012833642895865595;0.747722480187767
leiden_res0_8;level_1;0.9603529434137161;;0.9238612922347362;0.24008823585342903;0.0;0.0;0.9984653667673522;0.9992323458952802;0.0;0.0;0.19675806137094276;0.8032419386290572;2.3111148171179847;0.3100819866275807;0.009587665013603015;;0.017826741714616127;0.002396916253400735;0.0;0.0;0.0006540303630917121;0.0003272689400025784;0.0;0.0;0.02485081134410875;0.02485081134410875;0.5647697194012244;0.059719654538282;0.9041233498639698
leiden_res0_8;level_2;0.8030986061912607;;0.7669413159454653;0.2981119075476175;0.46620387610480246;0.4486092822704787;0.987870534523234;0.9939091817752997;0.31361792396546057;0.1921020034896632;0.20619414995325852;0.7938058500467415;2.326334422177561;0.3086350489008168;0.006860814100153789;;0.013813952604956704;0.0024309317095437535;0.01797142201205867;0.017233041809733965;0.008616786069340176;0.0043406373363073505;0.014609983130670936;0.012777025530748814;0.02566359070835919;0.02566359070835918;0.5679302185499727;0.05918172084813407;0.9313918589984621
leiden_res0_8;level_3;0.5839060748266204;0.7341085386855319;0.5442513337285122;0.3326262075523228;0.44657066927710903;0.43989403152517453;0.7916772197203716;0.889463275004403;0.2640732795174956;0.3118444032280655;0.34313956157849435;0.6568604384215057;5.829132794887554;0.1479910888248705;0.0025612539095436157;0.012417841656290377;0.0070808160918982245;0.015041779497548475;0.0038570920209347105;0.004969489629269381;0.04589047017408923;0.02579491565244557;0.003623057869383495;0.0029725794428266234;0.018286440357695898;0.01828644035769585;0.7835892567983644;0.01701808153975159;0.9743874609045639
leiden_res1.0;level_1;0.965041263427996;;0.9324599881446355;0.241260315856999;0.0;0.0;0.9985351153861068;0.9992672873977613;0.0;0.0;0.18592501154858562;0.8140749884514143;2.040436785204609;0.3299327541497359;0.003627075727480703;;0.0067607418740456915;0.0009067689318701757;0.0;0.0;0.0001493491238366827;7.472777253828262e-05;0.0;0.0;0.009452385490951122;0.009452385490951143;0.21177109727778456;0.022244370766864377;0.963729242725193
leiden_res1.0;level_2;0.817128483045054;;0.7840189685832839;0.30515985531856726;0.49978200126488614;0.4828655324960877;0.988383508621983;0.9941723923093063;0.3477407969801733;0.21864693754711084;0.19549824803265517;0.8045017519673449;2.0551636493027208;0.328386787391236;0.012035577896446978;;0.015243394283683178;0.0050081282703679135;0.018569967412984393;0.022216708244254906;0.005312209562585074;0.0026729174997485823;0.02878073373841084;0.016369499225443555;0.012736742460301521;0.012736742460301502;0.2175254511248184;0.022591263639204835;0.8796442210355302
leiden_res1.0;level_3;0.6000567496415073;0.7517720382762371;0.5620410985971152;0.3488024374757262;0.46469388294530645;0.4589184702692295;0.8221984127934784;0.9064497935391937;0.2793082804518286;0.3228946155907963;0.3230283115639629;0.6769716884360371;5.213757052274733;0.16330168248138258;0.004826332859161062;0.015400213959852284;0.01079836353257296;0.0021485576800449485;0.005981942201327445;0.007521132142644636;0.05176048238049677;0.028649203816987018;0.004216990570571978;0.0016824864910143912;0.0236977020763463;0.02369770207634637;0.9165339548588326;0.024173634869838326;0.9517366714083894
