method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability;overall_score_mean
cellsighter;level_3;0.5408956625578207;0.674214815632091;0.5345930844910477;0.5036940339091054;0.48993811367501083;0.4710188002619069;0.46587117612298334;0.7050914106166695;0.8337426358262245;0.2734985184917498;0.3172789171568911;0.18964237625072328;0.8103576237492767;0.18456838524651586;0.8532544157716101;12114.0;6124.6810000000005;0.07277981434029619;0.054629576767922655;0.07961170545728556;0.07830614530840707;0.08605852139182181;0.08914340786273436;0.09211240754780575;0.18460087355690685;0.11160548722066159;0.0787625162284605;0.0653356754519245;0.08000422136256154;0.08000422136256152;0.13602607332913194;0.0988404265154419;0.0;0.0;0.636100928298519;0.5516118056195585
deepcelltypes;level_1;0.6220538260429899;;0.5246980150635153;0.03479108261875106;0.2592322840113589;0.016528173090496943;0.012640936298064065;0.8626978837610114;0.9288153119759661;0.01413715098886866;0.005437115731308445;0.41879815474649185;0.5812018452535082;2.447548179795345;0.290061210996437;;3041.386;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.44626248664885143
deepcelltypes;level_2;0.4047929514951577;;0.33686749910129976;0.03322946332320641;0.1770884080049964;0.0868259901026942;0.07976457713923346;0.7997209381445993;0.8942711770735985;0.03170749057422136;0.020556773064142806;0.4450986114416057;0.5549013885583944;6.052224024975955;0.14179923900012656;;3041.386;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.40746445410600113
deepcelltypes;level_3;0.10553901947441065;0.29334739079949823;0.0931053449926155;0.018142490343647094;0.05775196086066993;0.022256299536270743;0.021025964775481465;0.23821420413994515;0.4880719251708145;0.009187352195700738;0.024519079225545012;0.6539944430753819;0.3460055569246181;12.820910644608247;0.07235413249633559;;3041.386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.22172695562543177
deepcelltypes_adapted;level_1;0.6825993314763501;;0.5594219336125431;0.20243027878605493;0.16564751734430166;-0.00019702523131857156;-0.00011598469308826687;0.9235676218025588;0.9610242566150757;0.0005232453974802783;0.00017398636035194677;0.40494443595158264;0.5950555640484174;6.50106056924937;0.13331448143473262;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.4810281841961841
deepcelltypes_adapted;level_2;0.44316318491460543;;0.3613798104410801;0.19140803910447404;0.1758529372747579;0.09095490909398456;0.08031365549389591;0.7530504607922104;0.8677848009686564;0.032059168217710446;0.0183879279474817;0.4077373042951062;0.5922626957048938;6.508520990323795;0.13318202097173285;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.42445711433629074
deepcelltypes_adapted;level_3;0.12735810253898144;0.3208751876764494;0.10791099376658872;0.06556237235460026;0.05911104466295346;0.026625008649246263;0.024895269268670694;0.014739121915708203;0.12140478539047875;0.010776707787070443;0.022400402168097685;0.5845991557849963;0.4154008442150037;11.953166373040144;0.07720120094198228;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.16658581796348276
flowsom;level_1;0.8311364500339753;;0.8103920065486012;0.3397492896958007;0.46799940018039987;0.30644410729335086;0.292420244412829;0.9656773708316514;0.9826862844729757;0.4266538731947379;0.23880497781822818;0.31198746491884244;0.6880125350811576;3.8383855490990726;0.20743990249231148;;16.612000000000002;0.0031099849196968283;;0.008492922176920062;0.004094760515221346;0.01692120880715738;0.007235239295621813;0.006289588830846481;0.004929891280276803;0.0025092679084915124;0.008275808776962034;0.004837250274238698;0.008869616839485483;0.008869616839485473;0.3301281663743221;0.013926415707904852;;0.0;0.9844500754015159;0.6599566335428265
flowsom;level_2;0.7369696030319569;;0.7304081181866611;0.5568328589154186;0.5299043798031974;0.5404711428837958;0.5379604231927391;0.9864850568226758;0.9932172226322076;0.39314429177950594;0.2767016330007642;0.09931257031883364;0.9006874296811663;0.039626351113190086;0.9619634660672917;;16.612000000000002;0.002423876682419805;;0.004630987120448015;0.0037018974162035746;0.014254287562185768;0.0033870734581896472;0.003524050084448295;0.004765130347026288;0.0023993461191844324;0.004647716304172282;0.003948743445621273;0.012047519963144562;0.012047519963144562;0.010563503914135575;0.009770776655046878;;0.0;0.9878806165879009;0.7181521482258736
flowsom;level_3;0.5040206598335514;0.6990986268600775;0.5218126459034428;0.4093610240243339;0.39311789718441226;0.44671753293484295;0.442450004324051;0.849675490891196;0.9217250927147586;0.23396044671882416;0.2903139318996145;0.22657444044066555;0.7734255595593345;0.1778433945235503;0.8491288628238458;;16.612000000000002;0.0036788711738171085;0.004168400597768879;0.0018913221086022376;0.00679695545249563;0.056736830425669064;0.0033039544811611266;0.00410575056055572;0.020347099988247887;0.011087400008899186;0.004446596077146046;0.001650366241937245;0.009137919642725914;0.009137919642725876;0.015637665931350044;0.011256876622486204;;0.0;0.9816056441309144;0.5901476157195462
flowsom_meta_clusters;level_1;0.8178577182376522;;0.8758321098016795;0.23345162534142677;1.0;0.0;0.0;0.9979021097287228;0.9989505041435851;0.0;0.0;0.2550500538306662;0.7449499461693339;0.19127375196566157;0.8394376173821925;;16.612000000000002;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.5471104519170074
flowsom_meta_clusters;level_2;0.47594296248006274;;0.6055654448674471;0.1722493795467118;0.2430225937858772;0.12376028747931667;0.046773436082005945;0.828422075890072;0.910170566168872;0.015307938741391205;0.02177140371416746;0.43854349380139046;0.5614565061986095;0.6260559781216488;0.6152516634311119;;16.612000000000002;0.01106327416820425;;0.003710762997340066;0.007617896945320057;0.04114165629393663;0.01627321550254492;0.015330785851715953;0.006954314862048465;0.003810572448295758;0.004936053045984255;0.005990870843985191;0.015020099687748846;0.015020099687748882;0.03732672217397673;0.014522645057109873;;0.0;0.9446836291589787;0.4580973022683177
flowsom_meta_clusters;level_3;0.12172799370644778;0.5553369388593606;0.25044935012062075;0.056644358093816946;0.046013830864831066;0.07401804647812536;0.021662287653358935;0.5551103007439844;0.7450472300821144;0.0026282709304257983;0.02381373198326901;0.7058400593149872;0.2941599406850129;1.8763374928713268;0.34776453373587957;;16.612000000000002;0.00711436849051635;0.0033654345613477648;0.00302801424087663;0.003297051492984362;0.013042350633050788;0.005446866943257547;0.00537895077038229;0.006449194632212454;0.00431938811542431;0.0011213626681185;0.004802801428669393;0.011381531340578966;0.011381531340578952;0.054482218968532;0.006611857138246864;;0.0;0.9644281575474183;0.31019066615070146
leiden_res0_5;level_1;0.8414250528261406;;0.8277215458510365;0.41246933110227985;0.6893636234342146;0.3606722944917971;0.3446628958367098;0.9738966309067159;0.9868456950272548;0.4310101807157366;0.2838131886356602;0.2815561052845711;0.7184438947154289;2.8105504638913716;0.3246807672952328;372.642;372.642;0.011204641476757874;;0.03127365282539377;0.004006127398878223;0.01641517313565227;0.021705195638959136;0.02634464086272228;0.012536145584274643;0.0063447924404656;0.04979199357216377;0.025110335611815526;0.04464960307718774;0.044649603077187766;1.4770004677595008;0.20879452376121474;0.0;0.0;0.9439767926162106;0.6802978243748758
leiden_res0_5;level_2;0.7278516003934804;;0.7216116835362447;0.6140411220896771;0.6216576577267683;0.5276849612299288;0.5225815856888458;0.9743206265208422;0.9870519123956981;0.35813834735504785;0.28035946785654114;0.10795942532597062;0.8920405746740293;0.048766200587208916;0.9537570727058424;372.642;372.642;0.010947426161389525;;0.012130656631600338;0.025022459792055887;0.07197692105306278;0.019579964873586455;0.02034192233757921;0.015436854611527731;0.007838108575835534;0.026468851914954666;0.01457276776919942;0.02581531598160157;0.02581531598160158;0.019208454230543938;0.01745292743310163;0.0;0.0;0.9452628691930524;0.7087271898225352
leiden_res0_5;level_3;0.4767172192619312;0.6872867419902488;0.5037139058162147;0.40903188278991476;0.443265330052384;0.4278812242977451;0.4227779857352466;0.7903106043008491;0.8882600253777714;0.21562271940578054;0.3016794623743658;0.26054969381335413;0.7394503061866459;0.23310785967152645;0.8111051096847668;372.642;372.642;0.011684828884559581;0.011947586583323845;0.014406191722530395;0.010658940603908448;0.06702723225523192;0.02027515681267317;0.020665203749018618;0.07184296036141717;0.040384582713117484;0.019464397936162402;0.009280814391324959;0.010435578780383668;0.010435578780383684;0.018344429825777584;0.012271553254077293;0.0;0.0;0.9415758555772021;0.563987935840295
leiden_res0_8;level_1;0.8489771686606925;;0.8405943981740144;0.41695271481705126;0.7103134885939587;0.3817962568138336;0.3712040456378537;0.9801491997582108;0.9900211731570792;0.47437939864922535;0.30582838080694963;0.27136450069428725;0.7286354993057127;2.3228066635225835;0.31396825555918917;326.90999999999997;326.90999999999997;0.0050524473620874675;;0.014757591214402802;0.0016187334894459122;0.018572852720605642;0.009443480172511435;0.013339989438436718;0.0059658184645651185;0.003015886870304183;0.01412406550833791;0.0068807069510661645;0.020471191900455626;0.02047119190045563;0.7419693952551001;0.07452203061138511;0.0;0.0;0.9747377631895626;0.6976457909841692
