method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability;overall_score_mean
cellsighter;level_1;0.8887253653316692;;0.8880945405763662;0.7824759650618593;0.7630043710583524;0.8223047824589065;0.8216405458301062;0.9933764922800368;0.9966794840073618;0.7419655180797945;0.6115111268268691;0.02401506311980694;0.975984936880193;0.0025358447534897174;0.997473319115471;;;0.007214746988318595;;0.007040339433092041;0.012174526047985221;0.025065690155329376;0.010534885600947477;0.010303610491017821;0.005672884559380955;0.0028500962386585147;0.013238820413384377;0.018055041824127788;0.008255430310436133;0.008255430310436131;0.0018629082590472428;0.0018496615390730029;;;0.9639262650584071;0.8776876620760564
cellsighter;level_2;0.8681453675218294;;0.8671090204714048;0.7770417770880136;0.7643162377871641;0.8102436243673088;0.8096026065721755;0.99521032590607;0.9976022337907843;0.7496439141372606;0.6125414238885797;0.02795765337903768;0.9720423466209622;0.003316986328304626;0.9966968401373546;;;0.006333543595382485;;0.005960265095118914;0.00967844319009747;0.022848919340010095;0.007929112592209507;0.007816419602873659;0.0007366354696235017;0.0003691911888577769;0.011033866923921042;0.014176613794482313;0.007216259710514566;0.0072162597105145726;0.0019026747759327892;0.0018854574329254003;;;0.9683322820230875;0.871436794653104
cellsighter;level_3;0.8285260498240751;0.8610090970761354;0.8273893376163116;0.7152866877185357;0.7063021467510805;0.7741237570511126;0.7735426832420398;0.9968264265904828;0.9984118623702182;0.7745376259493255;0.6147011653570031;0.04131068185491345;0.9586893181450865;0.00703312859573989;0.9930215864989764;;;0.007239521494768943;0.005923470192597961;0.006227972875851584;0.013486446803750428;0.027019704085390835;0.008137813898616899;0.007967245580977578;0.0009462479068939132;0.00047390520594047295;0.010803051665364253;0.011642788071427124;0.007953473428940488;0.007953473428940485;0.002674112151267422;0.0026340618667605735;;;0.9638023925261553;0.8502718692098061
deepcelltypes;level_1;0.5007007631326652;;0.520472876747091;0.07446971854316603;0.31823475309586857;0.1996267304405992;0.19751021965026228;0.9763759906729674;0.9881173972119747;0.059779805912130224;0.03408625227009885;0.1993405716728405;0.8006594283271596;0.5419057374926685;0.6485480763734137;;6418.904;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.5018948335900951
deepcelltypes;level_2;0.39302754773718623;;0.4034087553077221;0.05153589966148655;0.4081720086145665;0.15887527817059913;0.15169757519513172;0.7947915981802097;0.8915108514091175;0.07239872834831701;0.03182706246086207;0.3858613499291635;0.6141386500708366;2.2845349508809973;0.30445710426426553;;6418.904;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.43524958155664106
deepcelltypes;level_3;0.3055612644542164;0.39109691308569505;0.31094227517243944;0.032969278871068416;0.08400586408665706;0.11021816059757361;0.10541344591988444;0.7409812796895303;0.8608026949827297;0.12318855328962877;0.0298523861656521;0.5512115593287981;0.448788440671202;8.74776182540237;0.10258765221304758;;6418.904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.3988974392196745
deepcelltypes_adapted;level_1;0.6182171910324483;;0.5986828476961941;0.4089396611842256;0.5974156340029021;0.23995276080986133;0.23743065720918977;0.9811202667789536;0.9905151522207791;0.06733482508592072;0.044731595961319696;0.17664435151159744;0.8233556484884026;1.817876312689154;0.35487718020017733;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.5713548180019525
deepcelltypes_adapted;level_2;0.503088811874273;;0.48081708639238546;0.31758839623401625;0.40247178233357006;0.1888364882221912;0.18082241481351702;0.6969112695145409;0.834812116295961;0.08671867752407467;0.038359937465306325;0.25908906304599205;0.7409109369540079;1.9649213279363038;0.337277077330088;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.47662169565232876
deepcelltypes_adapted;level_3;0.4095405199606309;0.465302268236713;0.3836259890075892;0.11786717221636482;0.0802712451907473;0.13317009897982557;0.12726018099204028;0.7693107622758615;0.877103621173611;0.14207749905425462;0.033422662534041456;0.4548988059358992;0.5451011940641008;7.960403944850069;0.11160211148457691;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0;0.4399950937400197
flowsom;level_1;0.848264269661124;;0.8567529392547932;0.6832174942425184;0.5535666590683391;0.7669777228945858;0.7657227025845991;0.9961149104123302;0.998055091448569;0.6765503475792439;0.5329792473305065;0.06328780883370554;0.9367121911662945;0.014652971200827812;0.9855681991714395;;28.822000000000003;0.005987719107303723;;0.006044427848967543;0.009964551080464954;0.02485647968751214;0.010185085706052635;0.010455925706181193;0.0021256140806789133;0.0010648075425222143;0.01361252270948059;0.014479548464651307;0.008006151663006665;0.008006151663006658;0.0034640230503731064;0.0033608305154712633;;0.0;0.9700614044634814;0.840190764726805
flowsom;level_2;0.818145898301986;;0.825768165845214;0.6773159904904883;0.5741682091807786;0.7452904031689638;0.7440083024984547;0.9926215357111796;0.9962994461978111;0.689189811356217;0.5294592346703929;0.0665419845156634;0.9334580154843367;0.016450542682290573;0.9838308140273679;;28.822000000000003;0.004366040712972479;;0.00391776909008392;0.008976016972315686;0.022790229522736388;0.006596433031214449;0.006539451213236668;0.0065237051794670665;0.0032770505851427234;0.008768951657117732;0.010122705555217274;0.009431626165300655;0.00943162616530064;0.004364781026970999;0.004224242540866268;;0.0;0.9781697964351376;0.8296454833339391
flowsom;level_3;0.7381514895168294;0.8146552074072755;0.7571136054883105;0.5295549307768693;0.5288270272363226;0.6736506381519726;0.6713768395736435;0.9840897603678788;0.9920079074122837;0.7137806029667747;0.5165757924860109;0.1501546377073958;0.8498453622926042;0.07817662008874358;0.9277589182345797;;28.822000000000003;0.009778145231563187;0.00412621151136549;0.007034779004057295;0.033751118894775556;0.04334514076052805;0.010200495162842688;0.010147085692054632;0.006899659443827936;0.0034765499071228068;0.010276831672194644;0.010912256551214597;0.022027375902270586;0.022027375902270573;0.019959964314479828;0.017313656784644176;;0.0;0.951109273842184;0.7789816720107496
flowsom_meta_clusters;level_1;0.7627983689095069;;0.7805007616576646;0.557587509307629;0.7272914019306439;0.6436924645010423;0.6357423135789562;0.9439951810644502;0.9706967072126726;0.49711813351352196;0.3976604769541452;0.16521134995821524;0.8347886500417848;0.08778623547444799;0.9199046852744134;;28.822000000000003;0.030055982504058394;;0.035606133447751896;0.04678112009701653;0.06754737451943242;0.0474913985910687;0.05215737043772681;0.08547939687136522;0.04573511129438949;0.027645447607487234;0.017845299904677453;0.021486854797532994;0.021486854797532994;0.031215568038670902;0.02536163276534874;;0.0;0.8497200874797081;0.7379835030250168
