method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
Deepcelltypes;IMMUcan;level_1;0.5006129147953767;;0.0702880061484158;0.1995558739311473;0.0597904460499104;0.799453044253842;0.23478444337762677;1.0;0.8885606944444444
Deepcelltypes;IMMUcan;level_2;0.3930275477371862;;0.0515358996614865;0.1588713359334795;0.0724091667351343;0.6141386500708366;0.18445522610425413;1.0;0.8885606944444444
Deepcelltypes;IMMUcan;level_3;0.3055612644542164;0.4234445135802964;0.0329692788710684;0.1102181605975736;0.1231885532896287;0.448788440671202;0.14123698735011755;1.0;0.8885606944444444
Deepcelltypes_adapted;IMMUcan;level_1;0.6182171910324483;;0.4089396611842256;0.2399527608098613;0.0673348250859207;0.8233556484884026;0.33288269878949106;1.0;0.9471981597222222
Deepcelltypes_adapted;IMMUcan;level_2;0.503088811874273;;0.3175883962340162;0.1888364882221912;0.0867186775240746;0.7409109369540079;0.277625993427532;1.0;0.9471981597222222
Deepcelltypes_adapted;IMMUcan;level_3;0.4095405199606309;0.5098402099634582;0.1178671722163648;0.1331700989798255;0.1420774990542546;0.5451011940641008;0.19251228064497147;1.0;0.9471981597222222
FlowSOM;IMMUcan;level_1;0.848264269661124;;0.6832174942425184;0.7669777228945858;0.6765503475792439;0.9367121911662945;0.5922908173194955;0.9700614044634814;0.6244996180555555
FlowSOM;IMMUcan;level_2;0.818145898301986;;0.6773159904904883;0.7452904031689638;0.689189811356217;0.9334580154843368;0.5825747692268259;0.9781697964351376;0.6244996180555555
FlowSOM;IMMUcan;level_3;0.7381514895168294;0.7481933856607027;0.5295549307768693;0.6736506381519726;0.7137806029667747;0.8498453622926042;0.5178292438209156;0.951109273842184;0.6244996180555555
FlowSOM Meta Clusters;IMMUcan;level_1;0.7627983689095069;;0.557587509307629;0.6436924645010423;0.4971181335135219;0.8347886500417848;0.5022478224733513;0.8497200874797081;0.6244996180555555
FlowSOM Meta Clusters;IMMUcan;level_2;0.6156446482913998;;0.4333423605674798;0.5248054844092839;0.4701013000478738;0.6854182421009766;0.4099910057779238;0.8102630022964666;0.6244996180555555
