method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
celllens_full;level_2;0.7819369983889413;;0.7821116938373852;0.3580954881423023;0.5048117906329901;0.42656846842098456;0.42178855609884114;0.9909108753884105;0.9954414024591556;0.32407403107612043;0.17918275650027843;0.13121167682872456;0.8687883231712755;0.7680877848175717;0.614374107709219;;;0.014569830573952948;;0.017189852071687124;0.03489043536699322;0.14546627148456634;0.03441139041615174;0.03492212692812723;0.006008087628439266;0.003018621075928186;0.040191288403415695;0.026879886449877762;0.04978929798033441;0.04978929798033441;0.6389920924528183;0.17255217202340897;;;0.9271508471302352
celllens_full;level_3;0.5421013197662022;0.7482972456570888;0.5455944756032355;0.3156053654429063;0.4123315455296549;0.43850180568565633;0.43175409616379756;0.8311742018945463;0.911523533244381;0.24515088646436095;0.3093858490768586;0.3271405183074453;0.6728594816925547;3.21287661502659;0.2403545874792743;;;0.021736586764793373;0.01470525553503741;0.012677981765754836;0.024337424851283557;0.17193465172004327;0.01911448055895634;0.021070466206671235;0.03498167077984176;0.019334238937255718;0.01619792693773503;0.01705702872979654;0.03631680054346938;0.03631680054346936;0.5436977960986376;0.029079086652557436;;;0.8913170661760331
cellsighter;level_1;0.9130476654467122;;0.8680759939793624;0.3558080237962707;0.641792558067994;0.28626096865042977;0.23983704316545626;0.9830043857914703;0.9914274539677711;0.23246923899384356;0.1559312860306313;0.22585128689956963;0.7741487131004303;3.221799530348308;0.28332058998466836;12114.0;6124.6;0.03372184027618247;;0.05455567334492472;0.042319564602024795;0.15799539610878532;0.11622941808023743;0.11875735364433636;0.019289613126784684;0.009746108867981914;0.10476327527737714;0.08339958930317712;0.06975231449224427;0.06975231449224427;1.9581099204687038;0.12980030166818884;0.0;0.0;0.8313907986190876
cellsighter;level_2;0.7735173643975115;;0.7291599165941697;0.3901747099292991;0.6185222319644799;0.46439823232458044;0.44381382688828375;0.943582763141805;0.9712042801120786;0.33306855395116797;0.22862858342364412;0.24157079328735281;0.7584292067126472;3.250980675322333;0.2808780193743285;12114.0;6124.6;0.051460990257213006;;0.06705327261325292;0.04038315271794158;0.12252067844595135;0.09897048712233515;0.10834642328700786;0.04040688329801893;0.020766843578894738;0.10758467582722486;0.07432429943835095;0.0671483024920482;0.06714830249204816;1.945709998741034;0.12941633853936002;0.0;0.0;0.742695048713935
cellsighter;level_3;0.5967700962592366;0.7015424643609367;0.5467743942796122;0.34010868666051064;0.5115852851209561;0.46450520174471144;0.45567882110927693;0.7243854814999622;0.8445806353453273;0.3012305754244233;0.32032083150798457;0.3470752746657392;0.6529247253342608;6.433742009735698;0.1643842595288755;12114.0;6124.6;0.08367129241465177;0.07193356521758361;0.09863284617957381;0.049989807752399876;0.13006530724009238;0.11062117334843401;0.11483199931908657;0.1988670032414217;0.11762775979570751;0.09035843658597667;0.07156498324453694;0.09804817583099265;0.09804817583099265;3.2323505656843845;0.08696378374809527;0.0;0.0;0.5816435379267412
deepcelltypes;level_1;0.7101650947946915;;0.5809945279348357;0.03675024389065127;0.32147556238944314;0.004230691738482255;0.0021454297919031307;0.8815603018653422;0.9389144273390105;3.99122374108605e-05;0.0006871564632165809;0.4241895853237946;0.5758104146762054;8.027888658661622;0.11076787029717858;;3041.386;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
deepcelltypes;level_2;0.4779117241517932;;0.3812186437014368;0.03377530414336682;0.2762581964382324;0.07764469100196034;0.06441381971210602;0.8255780826087173;0.9086132745061108;0.023476538500310423;0.012450283110356971;0.43973968150453063;0.5602603184954693;7.796807523509726;0.1136776037588035;;3041.386;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
deepcelltypes;level_3;0.1488708127932072;0.3354086930047754;0.12060158587501849;0.020586869923740127;0.08532502116381431;0.023137065055488078;0.021693529221574637;0.36500849002864544;0.6041593250365713;0.008111359328827608;0.02080042915287122;0.6224160151640304;0.37758398483596955;14.367995162371653;0.06507029638117584;;3041.386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
deepcelltypes_adapted;level_1;0.7099577812490236;;0.5807214934983674;0.20207233112004683;0.32139909720469284;0.004254360661381927;0.0021437670505097817;0.9415848886880912;0.9703529711852751;0.0010532800155572484;0.0002349724617534358;0.4244210616352885;0.5755789383647114;8.245897732972235;0.1081560740644851;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0
deepcelltypes_adapted;level_2;0.4778680291987129;;0.3811333204400405;0.18234473136050586;0.27612936868384963;0.07903020618092786;0.0643687064346189;0.819420129501889;0.9052182772690183;0.028596875538775896;0.013475544610230511;0.43989774345820026;0.5601022565417997;8.291320342342509;0.10762732993316233;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0
deepcelltypes_adapted;level_3;0.16394687909855216;0.3437897938211184;0.13037394341361305;0.07923247480790561;0.08314744238648387;0.028560701854611202;0.026518057664199568;0.04473280515844459;0.21150131242723907;0.009667550885515325;0.020502510941783035;0.5642665443537193;0.43573345564628074;13.491332721521442;0.06900676557614849;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;1.0
flowsom;level_1;0.9174749419510805;;0.8853767306401521;0.3367822553929005;0.6296544281316104;0.24558692764927909;0.21216590162362775;0.9955485595086051;0.9977716959898577;0.19353859320257177;0.10509861475181492;0.18359915510277552;0.8164008448972245;2.0291929835960936;0.3316821280551109;;16.612000000000002;0.004037797119334099;;0.00823465302063846;0.005756736144660862;0.03495976461499619;0.02193339001981749;0.016553261888027096;0.0010029992919770821;0.0005027302060350438;0.01589725340608611;0.010587071840050267;0.010879961044532987;0.010879961044533013;0.23674375056913963;0.02501082639341585;;0.0;0.9798110144033295
flowsom;level_2;0.7800127286185753;;0.7502838420495785;0.37482752514571765;0.6059331546025789;0.45249476481368667;0.4437816537908718;0.9915441277062955;0.9957627916161795;0.33535088842808325;0.19655512742946854;0.1856744917236332;0.8143255082763667;2.0321932548250006;0.33135314398895954;;16.612000000000002;0.002952919590647032;;0.0066527108592775155;0.004283775275346745;0.02318030460543154;0.004577455689665555;0.005172912367260972;0.001710708427215057;0.0008591704200496011;0.004387557204115174;0.0030459091411440416;0.010955779437977188;0.010955779437977216;0.2368492627135058;0.024987457392777933;;0.0;0.9852354020467649
flowsom;level_3;0.5448917400539386;0.7149431530388555;0.5129691357322442;0.34297038250843914;0.41743737301365763;0.40797181912926944;0.40196368319211634;0.7805652913824606;0.8834427658227;0.22434932239400157;0.25853081406673006;0.3183076919958821;0.681692308004118;4.773436507338081;0.1738462772237059;;16.612000000000002;0.004804524608767691;0.006733396152086418;0.005081238811610096;0.014109174490241147;0.022083933725539937;0.006062800994510307;0.00688686327948517;0.01914879055210125;0.010849590890834973;0.004262508152739355;0.0032056314538680044;0.011098406040777985;0.011098406040777949;0.4066065949748883;0.011352142884849143;;0.0;0.9759773769561615
flowsom_meta_clusters;level_1;0.9398198246082389;;0.9596022798375445;0.489692367533425;1.0;0.0;0.0;0.9999999999999997;0.9999999999999998;0.0;0.0;0.1431756053527633;0.8568243946472368;0.05949150967473613;0.9438489981925386;;16.612000000000002;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
flowsom_meta_clusters;level_2;0.6590830878538168;;0.7531222625453635;0.30948564003470114;0.19293282164314554;0.09428674159628139;0.03694342249884317;0.953991201462474;0.9767244375294737;0.02344249872144374;0.01295198007356608;0.3255225072052857;0.6744774927947143;0.33455125320532375;0.7494248550408152;;16.612000000000002;0.000764604436587926;;0.002354786675042146;0.0021941216146081667;0.012224797915695331;0.012564845118862236;0.0019460743318835665;0.0016564598720556017;0.0008474927779979815;0.001590765782466631;0.0024638894838864664;0.010224143743412321;0.010224143743412356;0.017865147433150996;0.010207069237225001;;0.0;0.9961769778170604
flowsom_meta_clusters;level_3;0.16470561523317837;0.6927372298169974;0.31503964687546215;0.07060281816144741;0.042138809031403594;0.04119821812352831;0.0112946447580335;0.5467435384831993;0.7393336550404818;0.002797595849269466;0.017423290567159792;0.6672641288590592;0.33273587114094083;1.8338106233332347;0.35403717266766443;;16.612000000000002;0.009390249997450318;0.0028219323277336966;0.004934753354266498;0.00814542081843178;0.013084874459785156;0.017659614584252515;0.0065693917021395895;0.01881934213856011;0.012712445067797123;0.00034201984280885596;0.002420792759720422;0.01454241870781853;0.01454241870781853;0.18652214557886684;0.02196350996190489;;0.0;0.9530487500127485
leiden_res0_5;level_1;0.9277197640358305;;0.9019362692119544;0.3529806888154982;0.7351244270355539;0.3480502438570322;0.3092013316260892;0.9977014011300772;0.9988497337132098;0.28068922015873277;0.15993717860705178;0.14749785839464913;0.8525021416053509;1.353234007938897;0.4997289963010971;372.642;372.642;0.015386846668612718;;0.028837210930532403;0.005637698541455685;0.03061617201237314;0.05468876281827744;0.07064161395984975;0.0017453076414577103;0.0008736354552554468;0.07134616501720098;0.030019748976630806;0.06020761714327806;0.06020761714327809;0.8769865611206336;0.25941907311248597;0.0;0.0;0.9230657666569364
leiden_res0_5;level_2;0.7691519025306206;;0.7448299791811241;0.3801655788959094;0.6651496285728804;0.4482516865802085;0.43764236910389814;0.9864817519485729;0.9931998167919159;0.30576942379257827;0.1949546446576227;0.15657257361496663;0.8434274263850334;1.3656911192055596;0.4975275021014477;372.642;372.642;0.021412428883212178;;0.03327055795205505;0.004436213816085346;0.024684967260148467;0.02518719239374777;0.03178424499210558;0.013274853451284785;0.006696629103276565;0.04449504484203035;0.015767557120444742;0.06393940961686971;0.06393940961686971;0.8819081048026052;0.2597702712629223;0.0;0.0;0.8929378555839391
leiden_res0_5;level_3;0.5128585766129768;0.7058889844151404;0.49571904756487406;0.33735881394626605;0.3899746029712906;0.39291291833066333;0.3851838577813921;0.6956771193286859;0.8327056783820594;0.20938282212885234;0.2724205537967149;0.35512393666150766;0.6448760633384923;5.0659221230499325;0.17549216775449136;372.642;372.642;0.010254362342109141;0.03201846996901548;0.023416840408073167;0.00796018445645824;0.06910229482572479;0.025630230642751134;0.02619933028943757;0.08954717120054666;0.053366334413186584;0.02191860895446312;0.0111582239991186;0.03800113462487738;0.038001134624877385;1.5075388217430372;0.05451085189903362;0.0;0.0;0.9487281882894543
leiden_res0_8;level_1;0.9353482114160684;;0.9155561370177814;0.35656037112373457;0.7598949409331863;0.38116872331684876;0.3460107217547494;0.9989267223136371;0.999463176010412;0.31606269711815904;0.17582687257280744;0.1289128945382025;0.8710871054617975;0.8596667194822982;0.5629202687355856;326.90999999999997;326.90999999999997;0.006838275889202419;;0.012978933977182014;0.002669537235897907;0.02709123631017479;0.035807847859820795;0.03986888690285108;0.0006403503883822344;0.0003203763747950152;0.038925211624757976;0.020046905336883195;0.02622823311466544;0.02622823311466544;0.4493657849534901;0.13373561547299032;0.0;0.0;0.9658086205539879
leiden_res0_8;level_2;0.7876514752800488;;0.7659958362248439;0.39215178346503454;0.7064727343509589;0.5016971119235939;0.48894868080895326;0.9845937370008061;0.9922566722812046;0.34946478609453335;0.23067225252082157;0.14470474512946677;0.8552952548705333;0.8775682923850449;0.5578115722250291;326.90999999999997;326.90999999999997;0.00920517362878861;;0.015125530926085606;0.0035355684236408826;0.013148884759720793;0.011543158282068514;0.015743221083559637;0.01002214872980933;0.005053874038304821;0.019826505018411027;0.008021561424984485;0.029198916128574302;0.029198916128574292;0.4556796922735193;0.13340833415368317;0.0;0.0;0.953974131856057
leiden_res0_8;level_3;0.5705881632859823;0.732007881161017;0.5423999726965564;0.36815277757600384;0.4588052441995285;0.45134478807803247;0.44531353165924326;0.7839372286854672;0.8852899081901109;0.25901945159447026;0.3105766290687226;0.3093421340028195;0.6906578659971805;4.491651568048419;0.1848735508798399;326.90999999999997;326.90999999999997;0.016396228887517374;0.01439898084239357;0.01726772586675314;0.02729301542860979;0.011479768842531782;0.016573365800216722;0.017052501067983516;0.028075707396869196;0.015772093322234074;0.015967463980692743;0.014934835761888065;0.016520219902502374;0.016520219902502433;0.7034591620832332;0.0272179172171174;0.0;0.0;0.9180188555624131
leiden_res1_0;level_1;0.9341120520218997;;0.913855360007281;0.3545382767234288;0.7403964884553359;0.36402419806015685;0.33014119475960974;0.9988243628236967;0.9994118907058894;0.30057540862492427;0.1677149060957875;0.13257792149653086;0.8674220785034692;0.957279232269652;0.5370013918744305;373.128;373.128;0.009423625456031494;;0.018195227493061107;0.008371684681932915;0.0638725953990154;0.047288655155501576;0.04505365441922295;0.0010842778813390911;0.000542608717211007;0.043877137680739045;0.028085094813610084;0.032584614404446065;0.032584614404446065;0.5321389300604212;0.12139188601354887;0.0;0.0;0.9528818727198425
leiden_res1_0;level_2;0.7880645275211587;;0.7661880979738569;0.390947257202802;0.6933255826998878;0.4983490889773666;0.48660016646604587;0.9873667076323868;0.9936607818773503;0.34947864832970965;0.22847471699945804;0.14675925936919343;0.8532407406308066;0.97229833315081;0.5322665009415156;373.128;373.128;0.012969064416836675;;0.018670883608632068;0.009886525073063647;0.04222597086102664;0.03158521187534574;0.03197440386313451;0.004951999115373293;0.002489525878427999;0.02983058237429071;0.024159281236648452;0.028016015979977455;0.028016015979977493;0.5301327204441834;0.1187857579990902;0.0;0.0;0.9351546779158166
leiden_res1_0;level_3;0.5805213173849546;0.7334880420129604;0.5505637023469585;0.3753075669023514;0.47687156207680975;0.4604219385244244;0.45475854687990774;0.7997541285376588;0.8941817795730973;0.2668815401834268;0.31588874633589237;0.29976482134101845;0.7002351786589815;4.34641500200099;0.18817967062605728;373.128;373.128;0.020608050190439337;0.01736387051788105;0.01820527579103056;0.013464776462386693;0.03396464188496167;0.020719281830899713;0.021034139741657132;0.027966582538755995;0.015535186559381228;0.020218948588288668;0.01787743358000363;0.016736490154159865;0.01673649015415992;0.4690996548963487;0.016254758318372312;0.0;0.0;0.8969597490478033
leiden_res2_0;level_1;0.9397334247856245;;0.9215924733507013;0.3634986469178648;0.7923887146652842;0.42201365756642684;0.38413721787362265;0.99910782296289;0.9995538048769343;0.35688595046911015;0.2018791840376004;0.12274176818366378;0.8772582318163362;0.7165642386145823;0.591399450180337;425.86800000000005;425.86800000000005;0.0037546774132902676;;0.007603907911246967;0.0015271070981752197;0.00764177896998983;0.011041695315056516;0.017177394105685202;0.000265559463478654;0.00013284828461131775;0.016212423674897107;0.007356223977220109;0.016900785177417846;0.016900785177417832;0.24533296863016368;0.07783567165829632;0.0;0.0;0.9812266129335486
leiden_res2_0;level_2;0.8053374108319963;;0.7862254126801742;0.40431687093670876;0.7333668489670356;0.5351364978147083;0.524363606724485;0.9896583432454091;0.9948074064951301;0.3955727631358698;0.2612227530905651;0.13465678244675508;0.865343217553245;0.7287856162013581;0.5869097998189061;425.86800000000005;425.86800000000005;0.003470022029612042;;0.006171963615392222;0.0011742914932427293;0.007060377315682853;0.007531051030821264;0.004955005135007333;0.009046302880192097;0.004550718053535803;0.00878423090083221;0.004403898172562264;0.015858199995824013;0.015858199995824027;0.24270551955764647;0.07587034994839369;0.0;0.0;0.9826498898519398
leiden_res2_0;level_3;0.6062477013406884;0.7561163018355196;0.5797988646318017;0.37597518520686657;0.5357724106889703;0.4907033675341159;0.48692166802930786;0.88477658328607;0.9406055076574502;0.28919735138991853;0.3341052657329351;0.25496513478191213;0.7450348652180879;3.1754272717542387;0.23988530878924053;425.86800000000005;425.86800000000005;0.0036296362127830662;0.0056270987069309865;0.0034886779316594444;0.02380545667489252;0.011852180091287341;0.004069828323365295;0.004093261557408222;0.01293608187322337;0.006879521289723546;0.0052835566642555915;0.002529803834483125;0.005058446927274009;0.005058446927274026;0.1887601211728563;0.010757600377817016;0.0;0.0;0.9818518189360846
logistic_regression_default_StratifiedGroupKFold;level_1;0.9250133775200979;;0.8965595665683251;0.3610661874081401;0.8208732976083958;0.3154532141845107;0.2711019646945721;0.994340231965654;0.9971618003978897;0.253621962885988;0.18190179787835112;0.19305585719747625;0.8069441428025238;2.1797586878774515;0.4085979628780748;2.04;1.036;0.036414967093391384;;0.060163901266106684;0.06935375092354079;0.1027911587859823;0.19639086633286393;0.18266292972515624;0.006518156824909604;0.0032741015739872694;0.16945858937838582;0.11293578251267232;0.07765896212598057;0.07765896212598056;2.050825139607879;0.21113299824838502;0.0;0.0;0.8179251645330431
logistic_regression_default_StratifiedGroupKFold;level_2;0.7994951067313137;;0.7703364496575145;0.404328612873987;0.7390887978448195;0.5382388136100197;0.5219589442606174;0.9452162951883913;0.9715921138548804;0.4185983983488482;0.2922457763716741;0.20701233881358752;0.7929876611864125;2.2097381894350434;0.40579145283506124;2.04;1.036;0.09015553991268357;;0.10711926369913807;0.07206175724524913;0.07623314830316037;0.11470730157244183;0.12738703292279271;0.07497678972765488;0.03913213965840813;0.16487762657069685;0.09786763471303998;0.09226497329862209;0.09226497329862204;2.080732546582822;0.21116296873304652;0.0;0.0;0.5492223004365822
logistic_regression_default_StratifiedGroupKFold;level_3;0.6668372880654094;0.7460964896529405;0.6191623654534316;0.3741749816551172;0.5945451362667995;0.556143208047068;0.5472281970392913;0.7427246567503549;0.8501525049176193;0.4080312850513336;0.41248143659160946;0.33078147619842735;0.6692185238015727;6.009801668814838;0.1997503301725802;2.04;1.036;0.09644784994154572;0.10991375470840928;0.12186566591584329;0.06093036700313963;0.13755817724633895;0.12638183160134836;0.13226466581399676;0.2533844224640112;0.1579769569140239;0.1044993200698552;0.08284236446501123;0.13591640185061693;0.1359164018506169;4.791584874225218;0.12193536868901951;0.0;0.0;0.5177607502922714
maps;level_1;0.9487424078766198;;0.9353574388132444;0.38285438163077173;0.8785958315783656;0.46078379243172146;0.4363160201069916;0.9973905547803208;0.9986929632683055;0.42666301382615235;0.2966333038040664;0.138006236217744;0.8619937637822559;1.100300065938727;0.5625599718369159;509.244;257.315;0.034722761634843134;;0.04131020590388538;0.08334343835606597;0.05092857252336129;0.25805667933853393;0.25446688547012;0.0038126496231989902;0.0019104641752600798;0.23633133009942678;0.1844879356988004;0.07591903715413467;0.07591903715413471;0.9591592115671744;0.2435424246101867;0.0;0.0;0.8263861918257843
maps;level_2;0.854902921691386;;0.8400516570317891;0.44549821107070126;0.8246657838814654;0.6550674862968406;0.6447836363793018;0.9803355469288425;0.9900426340418097;0.5390923076152077;0.40298436459849307;0.1479376767143722;0.8520623232856279;1.1143416527621217;0.5599631601490269;509.244;257.315;0.06457274462827063;;0.06970419900184781;0.07959904896532918;0.033811829782362544;0.10047946985900666;0.1065667028019585;0.027029590803833086;0.013744531112310035;0.13729433805958124;0.10488651460929026;0.08093317078506325;0.08093317078506328;0.9709956487996885;0.24381736367428575;0.0;0.0;0.6771362768586469
maps;level_3;0.7342503956650223;0.8184519077866549;0.7040171086064199;0.41857934644197625;0.705357008583424;0.6485690023861541;0.6429822647267678;0.862016120587386;0.923445136023384;0.4970849881654953;0.5012739940581926;0.25357127404856067;0.7464287259514394;3.394414485382476;0.2861932675517654;509.244;257.315;0.10013973133315965;0.07571303243381383;0.1116422682561223;0.06799102146996182;0.10342460725048655;0.1204583187550408;0.12542110849684956;0.18597908236782462;0.10761738557349752;0.11518012094616036;0.08300892589140743;0.10950780726889657;0.10950780726889658;2.503543934470037;0.130990379922183;0.0;0.0;0.49930134333420184
most_frequent_default_StratifiedGroupKFold;level_1;0.9395413671032801;;0.9593995507374716;0.4896288671858316;1.0;0.0;0.0;0.9999999999999998;1.0;0.0;0.0;0.1425999116255427;0.8574000883744572;0.05985936309013221;0.9436750486422293;0.0;0.0;0.014869749447306617;;0.01004434073730664;0.0026094913200815405;0.0;0.0;0.0;2.0014830212433605e-16;1.7554167342883506e-16;0.0;0.0;0.01885414140251592;0.01885414140251594;0.015064680530439615;0.013512159705512462;0.0;0.0;0.9256512527634669
most_frequent_default_StratifiedGroupKFold;level_2;0.5127616634577248;;0.6249234871105932;0.24569510358782054;1.0;0.0;0.0;0.7750058192690371;0.702394396340807;0.0;0.0;0.465471344036002;0.5345286559639979;0.8660652409556194;0.6135731341000933;0.0;0.0;0.26300659707073515;;0.2578148122850136;0.08432560185616263;0.0;0.0;0.0;0.36161385190903766;0.5933463693936182;0.0;0.0;0.19361547351131123;0.19361547351131123;0.9619896450561982;0.18911878526402337;0.0;0.0;0.0
