method;level;f1_weighted_mean;hierarchical_f1_mean;accuracy_mean;macro_f1_mean;g_mean_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;train_time_mean;inference_time_mean;f1_weighted_std;hierarchical_f1_std;accuracy_std;macro_f1_std;g_mean_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;train_time_std;inference_time_std;stability
nimbus_FuseSOM_12;level_3;0.3660491409945557;0.744309312107087;0.42797866034380555;0.234247523081402;0.48822795862049695;0.2796085568201045;0.23800510210070858;0.5105345747557528;0.7145170220195967;0.14423607670886607;0.19951440546210963;0.5105046028950928;0.48949539710490714;3.479402109817351;0.22324407934003837;;68.88199999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0
nimbus_flowsom;level_1;0.9810681979486763;;0.9628583283935981;0.24526704948716907;0.9628583283935981;0.0;0.0;0.9993953743678796;0.9996976371113668;0.0;0.0;0.13677385719842636;0.8632261428015736;1.0956011389518931;0.48083176959641827;;17.616;0.003492148365309859;;0.006719978130854299;0.0008730370913274472;0.006719978130854299;0.0;0.0;0.00020876815121863003;0.00010441401701509104;0.0;0.0;0.012457307563524676;0.012457307563524663;0.20682378358788567;0.046145174537675714;;0.0;0.9825392581734507
nimbus_flowsom;level_2;0.8005380058589717;;0.7938399525785418;0.2817611326642025;0.6425017173568836;0.39959447705778467;0.393271199105258;0.985382728934634;0.9926632909042871;0.2938635526348354;0.14765682268181587;0.15563660394329798;0.844363396056702;1.1163378331598128;0.47598630843771045;;17.616;0.009384952154714313;;0.017683977847989876;0.0013880006881644062;0.03679093609970662;0.006502305858475216;0.005494742434650125;0.003382800145115014;0.00170287466679689;0.018533109485499983;0.007537853930968888;0.01113913085181799;0.011139130851818;0.20504936094551288;0.04480971423399417;;0.0;0.9530752392264285
nimbus_flowsom;level_3;0.5420727743685311;0.7538698619700495;0.5262335506816834;0.299971007883996;0.39268335873284926;0.4006402126104393;0.38847293911402925;0.7667808602645609;0.8746273695460276;0.19644650476341458;0.23157277007299532;0.32351224510990073;0.6764877548900993;3.801452941815048;0.22765184067271713;;17.616;0.007074696298712715;0.01922364714934528;0.022315833050537796;0.004868010148671652;0.012037629166009953;0.014086980357039465;0.013762616737539188;0.08026052256986373;0.04753715264870896;0.004629275672191508;0.0031994094664857344;0.035040568687060514;0.03504056868706049;1.8893394921363444;0.06243337090788781;;0.0;0.9646265185064364
nimbus_leiden_0_8;level_1;0.9464151886085436;;0.8982809721398933;0.2366037971521359;0.8982809721398933;0.0;0.0;0.9980517902382184;0.9990254202162318;0.0;0.0;0.22983981892614516;0.7701601810738549;3.110392953368076;0.2432857421041935;302.46999999999997;302.46999999999997;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
nimbus_leiden_0_8;level_2;0.8111994010212353;;0.7748666271487848;0.29162221994609866;0.6570074389211817;0.4279799494443476;0.4199162694650157;0.9872407163009708;0.9935998773656178;0.35902528996045446;0.1798237069639678;0.2331398816747312;0.7668601183252688;3.116069005703051;0.2429502514691669;302.46999999999997;302.46999999999997;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
nimbus_leiden_0_8;level_3;0.5401415631852726;0.7382877466342013;0.5156668642560759;0.2972120552134312;0.351590494691075;0.39331892466942886;0.3876422401320482;0.824123346034292;0.907812395836437;0.21212066713702785;0.2397326146425524;0.3412667589334521;0.6587332410665478;4.761239852609268;0.17357374898167094;302.46999999999997;302.46999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
nimbus_phenograph_40;level_1;0.9706197352454107;;0.9430171902786011;0.24265493381135267;0.9430171902786011;0.0;0.0;0.9986511111280159;0.9993253176546151;0.0;0.0;0.16925202510944937;0.8307479748905507;1.7184436214278012;0.37801906559315535;;335.912;0.008270260689040472;;0.01565095089960692;0.002067565172260116;0.01565095089960692;0.0;0.0;0.00032089377409381026;0.0001605557466821648;0.0;0.0;0.02465896805799864;0.024658968057998644;0.4833578762454795;0.07148898083864849;;0.0;0.9586486965547977
nimbus_phenograph_40;level_2;0.8147482756768805;;0.7908452874925904;0.29493235430603737;0.7070521985881641;0.45768502384296406;0.45183287821428675;0.9966068002419565;0.9983017702233351;0.3537172012512799;0.1833632286512922;0.17057362921645391;0.8294263707835461;1.7202339834920615;0.3777764600524875;;335.912;0.013131467378745655;;0.018831393243482906;0.005878174639435379;0.015208797462406434;0.025455896335610555;0.02732394362334124;0.0013682744895290725;0.0006853930552981998;0.03294718919399527;0.02064352210490704;0.024849020816411927;0.02484902081641191;0.4837421935589849;0.07147269950503678;;0.0;0.9343426631062717
nimbus_phenograph_40;level_3;0.5654819260769725;0.7521832500638793;0.5378363959691761;0.32198831464674066;0.44987119146610477;0.4266868288846588;0.4225217390341401;0.8644790973721381;0.9296132272390384;0.232225562120632;0.2476109500540063;0.2855657587098324;0.7144342412901676;3.9376707563759026;0.20620963547588417;;335.912;0.008800360150339734;0.0180541646199201;0.011489771222603197;0.010450698818033188;0.03427185367129973;0.008864292022688128;0.009699074779871645;0.035800110075510976;0.019311431664887423;0.006219837834962339;0.004607328372009467;0.020056497208391578;0.02005649720839155;0.742611326181679;0.030894663687261785;;0.0;0.9559981992483013
phenograph_20;level_1;0.9659144369075054;;0.9341066982809721;0.2414786092268763;0.9341066982809721;0.0;0.0;0.9983268336996648;0.9991630467394857;0.0;0.0;0.18343840917437992;0.81656159082562;1.9916266974248296;0.3364143802015762;;191.138;0.004615470024761398;;0.008616198064178066;0.001153867506190368;0.008616198064178066;0.0;0.0;0.00044535792591690636;0.00022285065921045136;0.0;0.0;0.012182133496338282;0.012182133496338284;0.27198289317696284;0.029563480815412106;;0.0;0.976922649876193
